Sentence,Label
History,0
"Laboratory hamsters have not lost their ability to dig burrows; in fact, they will do this with great vigor and skill if they are provided with the appropriate substrate.Wild hamsters will also appropriate tunnels made by other mammals; the Djungarian hamster, for instance, uses paths and burrows of the pika.",0
Pet guardianship has also been associated with increased coronary artery disease survival.,0
"Linnaeus considered the dog to be a separate species from the wolf because of its upturning tail (cauda recurvata), which is not found in any other canid.In 1999, a study of mitochondrial DNA (mtDNA) indicated that the domestic dog may have originated from the grey wolf, with the dingo and New Guinea singing dog breeds having developed at a time when human communities were more isolated from each other.",0
"The species' role as a prey animal with few defenses evokes vulnerability and innocence, and in folklore and modern children's stories, rabbits often appear as sympathetic characters, able to connect easily with youth of all kinds (for example, the Velveteen Rabbit, or Thumper in Bambi).",0
Hind limb elements,0
"The daily duration of sleep varies, usually between 12 and 16 hours, with 13 and 14 being the average.",1
Taste,1
Miscellaneous,0
"In the tropics and sub-tropics, relatively more species are expanding due to human activities, particularly due to the spread of crops such as rice whose expansion in south Asia has benefitted at least 64 bird species, though may have harmed many more species.",0
"Since birds are highly visible and common animals, humans have had a relationship with them since the dawn of man.",0
Hamsters communicate through body language to one another and even to their owner.,0
This is due to the fact that the epiglottis is fixed to the backmost portion of the soft palate.,0
"Years later, animals of this original breeding colony were exported to the United States, where Syrian hamsters became a common pet and laboratory animal.",0
Dog meat is also consumed in some parts of Switzerland.,0
"In natural populations of Parus major, inbreeding is avoided by dispersal of individuals from their birthplace, which reduces the chance of mating with a close relative.Southern pied babblers Turdoides bicolor appear to avoid inbreeding in two ways.",0
"The integument evolved into complex, pennaceous feathers.The oldest known paravian (and probably the earliest avialan) fossils come from the Tiaojishan Formation of China, which has been dated to the late Jurassic period (Oxfordian stage), about 160 million years ago.",0
Rabbit.org Foundation organization that discourages Cuniculture and promotes keeping rabbits indoors,0
"After birth, the female can become pregnant again as early as the next day.After mating, in some species, hormonal changes will cause the doe to begin to dig a burrow for her nest about a week before giving birth.",0
Taxonomists generally disagree about the most appropriate placement of the subfamily Cricetinae within the superfamily Muroidea.,0
"The spine has cervical, thoracic, lumbar and caudal regions with the number of cervical (neck) vertebrae highly variable and especially flexible, but movement is reduced in the anterior thoracic vertebrae and absent in the later vertebrae.",0
Hamster shows are also places where people share their enthusiasm for hamsters among attendees.,0
"Seabirds also undertake long migrations, the longest annual migration being those of sooty shearwaters, which nest in New Zealand and Chile and spend the northern summer feeding in the North Pacific off Japan, Alaska and California, an annual round trip of 64,000 km (39,800 mi).",0
"It is a social species, but a solitary hunter and a crepuscular predator.",1
"At farmers markets there, including the famous Borough Market in London, rabbit carcasses are sometimes displayed hanging, unbutchered (in the traditional style), next to braces of pheasant or other small game.",0
"While some rabbits live solitary lives, others live in groups, and the best known species, the European rabbit, lives in burrows, or rabbit holes.",0
Environmental problems,0
Some birds also use mechanical sounds for auditory communication.,0
The other 25% of the air goes directly into the lungs.,0
"With the advent of scientific interest in birds, many paintings of birds were commissioned for books.Among the most famous of these bird artists was John James Audubon, whose paintings of North American birds were a great commercial success in Europe and who later lent his name to the National Audubon Society.",0
"Sound production is achieved using the syrinx, a muscular chamber incorporating multiple tympanic membranes which diverges from the lower end of the trachea; the trachea being elongated in some species, increasing the volume of vocalisations and the perception of the bird's size.In birds, the main arteries taking blood away from the heart originate from the right aortic arch (or pharyngeal arch), unlike in the mammals where the left aortic arch forms this part of the aorta.",0
"Many species migrate annually over great distances and across oceans; several families of birds have adapted to life both on the world's oceans and in them, and some seabird species come ashore only to breed, while some penguins have been recorded diving up to 300 metres (980 ft) deep.Many bird species have established breeding populations in areas to which they have been introduced by humans.",0
Dogs have lived and worked with humans in many roles.,0
Communication,0
Lifespan,0
Species M. raddei—Ciscaucasian hamster,0
"One explanation is that cats adopt humans into their social group and share excess kill with others in the group according to the dominance hierarchy, in which humans are reacted to as if they are at or near the top.",1
"Birds are social, communicating with visual signals, calls, and songs, and participating in such behaviours as cooperative breeding and hunting, flocking, and mobbing of predators.",0
"The tibia and fibula articulate with the tarsals of the pes, commonly called the foot.",0
Many birds show plumage patterns in ultraviolet that are invisible to the human eye; some birds whose sexes appear similar to the naked eye are distinguished by the presence of ultraviolet reflective patches on their feathers.,0
"Birds have frequently reached islands that mammals have not; on those islands, birds may fulfil ecological roles typically played by larger animals.",0
Skeletal system,0
Chicks at neither extreme but favouring one or the other may be termed semi-precocial or semi-altricial.,0
Breeding,0
Outer ear,0
"Calls are used for a variety of purposes, including mate attraction, evaluation of potential mates, bond formation, the claiming and maintenance of territories, the identification of other individuals (such as when parents look for chicks in colonies or when mates reunite at the start of breeding season), and the warning of other birds of potential predators, sometimes with specific information about the nature of the threat.",0
"The Greeks later syncretized their own goddess Artemis with the Egyptian goddess Bastet, adopting Bastet's associations with cats and ascribing them to Artemis.",1
"A burrow includes a steep entrance pipe (4–5 cm (1.6–2.0 in) in diameter), a nesting and a hoarding chamber and a blind-ending branch for urination.",0
"A caught rabbit may be dispatched with a sharp blow to the back of its head, a practice from which the term rabbit punch is derived.",0
"Some dog trainers, such as on the television program Dog Whisperer, have promoted a dominance model of dog-human relationships.",0
"Their high-pitched sounds may mimic the cries of a hungry human infant, making them particularly difficult for humans to ignore.",1
": 37  Cats tend to have better teeth than most humans, with decay generally less likely because of a thicker protective layer of enamel, a less damaging saliva, less retention of food particles between teeth, and a diet mostly devoid of sugar.",1
"Cottontails have white on the top of their tails.As a result of the position of the eyes in its skull, the rabbit has a field of vision that encompasses nearly 360 degrees, with just a small blind spot at the bridge of the nose.",0
"Their behavioural traits include guarding, herding, and hunting, retrieving, and scent detection.",0
"Hamsters are very flexible, but their bones are somewhat fragile.",0
"Del Hoyo, Josep; Elliott, Andrew; Sargatal, Jordi (eds.).",0
ISBN 978-0-7566-6004-8.,0
Approximately 1.2 billion rabbits are slaughtered each year for meat worldwide.,0
"They are much longer than the forelimbs, providing more force.",0
"Feral cats may live alone, but most are found in large colonies, which occupy a specific territory and are usually associated with a source of food.",1
"The Sertoli cells triggers the production of Anti-Müllerian duct hormone, which absorbs the Müllerian duct.",0
"Windling, Terri.",0
Sexual selection,0
These molecules are particularly enriched in tuna.,1
Egg and sperm production can begin to decline after three years.,0
"Most female birds have a single ovary and a single oviduct, both on the left side, but there are exceptions: species in at least 16 different orders of birds have two ovaries.",0
"Some of these genes have been associated with aggression in some dog breeds, indicating their importance in both the initial domestication and later in breed formation.",0
Evolution,1
"At 10–12 days, implantation occurs.",1
The smaller Roborovski hamster often lives to three years in captivity.,0
Diseases and immunity,0
Birds have wings whose development varies according to species; the only known groups without wings are the extinct moa and elephant birds.,0
The skeleton consists of very lightweight bones.,0
"Waterbirds such as pelicans and flamingos, for example, may have in common specific adaptations suited to their environment that were developed independently.",0
"To aid with navigation and sensation, cats have dozens of movable whiskers (vibrissae) over their body, especially their faces.",1
"As agricultural practices spread, so did tame and domesticated cats.",1
Terminology,0
Taxonomy,0
Some desert birds depend on water sources and sandgrouse are particularly well known for congregating daily at waterholes.,0
"This line of partially domesticated cats leaves no trace in the domestic cat populations of today.During domestication, cats have undergone only minor changes in anatomy and behavior, and they are still capable of surviving in the wild.",1
"Mammalogists have noted the inclusion of familiaris and dingo together under the ""domestic dog"" clade with some debating it.In 2019, a workshop hosted by the IUCN/Species Survival Commission's Canid Specialist Group considered the dingo and the New Guinea singing dog to be feral Canis familiaris and therefore did not assess them for the IUCN Red List of Threatened Species.",0
A longer gestation period will generally yield a smaller litter while shorter gestation periods will give birth to a larger litter.,0
": 43  This is partly the result of cat eyes having a tapetum lucidum, which reflects any light that passes through the retina back into the eye, thereby increasing the eye's sensitivity to dim light.",1
"When not copulating, it is hidden within the proctodeum compartment within the cloaca, just inside the vent.",0
"Hoopoes were considered sacred in Ancient Egypt and symbols of virtue in Persia, but were thought of as thieves across much of Europe and harbingers of war in Scandinavia.",0
This reflex is known as the cat righting reflex.,1
This appears to be an adaptation to low light levels rather than representing true trichromatic vision.,1
Genus Cricetulus,0
"Before migration, birds substantially increase body fats and reserves and reduce the size of some of their organs.Migration is highly demanding energetically, particularly as birds need to cross deserts and oceans without refuelling.",0
Four of the seven living genera include extinct species.,0
"They had one to six kittens per litter, with an average of three kittens.",1
": 153  Domestic cats are a major predator of wildlife in the United States, killing an estimated 1.3 to 4.0 billion birds and 6.3 to 22.3 billion mammals annually.Certain species appear more susceptible than others; in one English village, for example, 30% of house sparrow mortality was linked to the domestic cat.",1
Commonly occurring sexual dimorphisms such as size and colour differences are energetically costly attributes that signal competitive breeding situations.,0
"Campbell's dwarf hamster (Phodopus campbelli) is the most common—they are also sometimes called ""Russian dwarfs""; however, many hamsters are from Russia, so this ambiguous name does not distinguish them from other species appropriately.",0
"Another study revealed that after undergoing training to solve a simple manipulation task, dogs faced with an unsolvable version of the same problem look at the human, while socialized wolves do not.",0
"A more likely explanation is that the egg develops a shell while passing through the oviduct over a period of about a day, so that if two eggs were to develop at the same time, there would be a risk to survival.",0
": 35  Within the jaw, cats have teeth adapted for killing prey and tearing meat.",1
"Rabbits' ears are an important structure to aid thermoregulation as well as in detecting predators due to the way the outer, middle, and inner ear muscles coordinate with one another.",0
"Cats can be infected or infested with viruses, bacteria, fungus, protozoans, arthropods or worms that can transmit diseases to humans.",1
"A common breeding practice for pet dogs is mating between close relatives (e.g., between half and full siblings).",0
"For example, a review of the studies on dogs' competitive effects on sympatric carnivores did not mention any research on competition between dogs and wolves.",0
Evolution,0
"In the United Kingdom, 26% of adults have a cat, with an estimated population of 10.9 million pet cats as of 2020.",1
See also,0
"Cats are common pets throughout the world, and their worldwide population as of 2007 exceeded 500 million.",1
"Dogs were depicted to symbolize guidance, protection, loyalty, fidelity, faithfulness, alertness, and love.",0
"However, neutering increases the risk of urinary incontinence in female dogs and prostate cancer in males and osteosarcoma, hemangiosarcoma, cruciate ligament rupture, obesity, and diabetes mellitus in either sex.",0
"Breeds may have an occasional ""blaze"", stripe, or ""star"" of white fur on their chest or underside.",0
"Research has, however, pointed to significantly less absenteeism from school through sickness among children who live with pets.""",0
Signals can be interspecific (between species) and intraspecific (within species).,0
"As dogs, with their acute sense of hearing, they rely on the auditory aspect of communication for understanding and responding to various cues, including the distinctive barking patterns that convey different messages.",0
Most studies agree on a Cretaceous age for the most recent common ancestor of modern birds but estimates range from the Early Cretaceous to the latest Cretaceous.,0
Rabbits run on their toes to gain the optimal stride during locomotion.,0
Cornell Lab of Ornithology,0
